Type;Question;Answer
drug;how is cocaine and amphetamine used;Cocaine is a type of drug that functions to increase the availability of the neurotransmitter dopamine in the brain. Dopamine is associated with the generation of 'euphoric' emotions, the regulation of movement, and the processing of reward cues. However, it is also associated with a considerable potential for dependence and abuse. Cocaine abuse is related to an increased risk of:    Psychiatric disorders.    Disease.    Death.  Cocaine is attractive as a recreational substance due to the perceived positive effects on mood, motivation, and energy. Someone abusing cocaine may smoke, snort, or take it intravenously (via injection).
drug;how is cocaine and amphetamine used;Amphetamines are central nervous system (CNS) stimulants prescribed for the treatment of:     Narcolepsy.    Hyperactivity, e.g. ADHD.     Asthma.  For example, two common CNS stimulants, Adderall and Ritalin, are prescribed for hyperactivity disorders and narcolepsy, but are commonly abused. Amphetamines are often abused for their ability to suppress appetite and stave off fatigue. In fact, many people who begin taking amphetamines to lose weight or stay awake, for example to study, get caught in the web of use and abuse.
drug;what is classed as a low dose of azathioprine;approximately 1 mg/kg (50 to 100 mg) given as a single dose or on a twice-daily schedule
drug;what does ibuprofen contain. any aspirin?;No, ibuprofen does not contain aspirin. Ibuprofen and aspirin are two different types of NSAIDs (non-steroid anti-inflammatory drugs) that can be used to treat similar conditions. Aspirin is also in a family of medicine called salicylates.
drug;how much time before tizanidine takes effect;This medication usually starts to work in 1 to 2 hours and wears off after 6 to 8 hours. Tizanidine can be taken every 6 to 8 hours, but you should not take more than 36 milligrams a day or more than 3 doses in 24 hours.
drug;metoprolol pill how long before it takes affect;Metoprolol starts to work after about 2 hours, but it can take up to 1 week to fully take effect. You may not feel any different when you take metoprolol, but this doesn't mean it's not working. It's important to keep taking your medicine.
drug;how do you pronounce humira;Hu·​mira | \ hyü-ˈmer-ə
drug;how often is a shingles vaccine required?;Zostavax is approved by the Food and Drug Administration for people aged 50 years and older. However, CDC does not have a recommendation for routine use of Zostavax in people 50 through 59 years old. Protection from this shingles vaccine lasts about 5 years, so adults vaccinated before they are 60 years old might not be protected later in life when the risk for shingles and its complications are greatest. Adults 50 through 59 years who have questions about shingles vaccine should discuss the risks and benefits with a healthcare provider.
drug;what three trade names were gven inthis chapter for this generic drug about hydrochlorothiazide;Esidrix®¶    Hydrodiuril®¶    Microzide®    Oretic®    Zide®¶
drug;how long can i take miralax;Stop use and ask a doctor if ...  you need to use a laxative for longer than 1 week
drug;"is it safe to add peppermint essential oil in ""mouth wash?""";Peppermint oil appears to be safe when taken orally (by mouth) in the doses commonly used. Excessive doses of peppermint oil can be toxic.     Possible side effects of peppermint oil include allergic reactions and heartburn. Capsules containing peppermint oil are often enteric-coated to reduce the likelihood of heartburn. If enteric-coated peppermint oil capsules are taken at the same time as antacids, the coating can break down too quickly.     Like other essential oils, peppermint oil is highly concentrated. When the undiluted essential oil is used for health purposes, only a few drops are used.     Side effects of applying peppermint oil to the skin can include skin rashes and irritation. Peppermint oil should not be applied to the face or chest of infants or young children because serious side effects may occur if they inhale the menthol in the oil.     No harmful effects of peppermint leaf tea have been reported. However, the long-term safety of consuming large amounts of peppermint leaf is unknown.
drug;how long on metoprolol after vavle replacement surgery;Typically one stays on it for around a month but it can be indefinitely if you have high blood pressure. This is a very benign drug and is very commonly used.
drug;what strength dose triamcinolone come in;cream/ointment    0.025%    0.05%    0.1%    0.5%, lotion    0.025%    0.1%, dental paste    0.1%, aerosol solution    0.0147%
drug;what type of drug is marijuana;"Cannabis, also known as marijuana among other names,[n 1] is a psychoactive drug from the Cannabis plant used for medical or recreational purposes.[16][17][18] The main psychoactive part of cannabis is tetrahydrocannabinol (THC), one of 483 known compounds in the plant,[19] including at least 65 other cannabinoids.[20] Cannabis can be used by smoking, vaporizing, within food, or as an extract.[21]  Cannabis has mental and physical effects such as creating a ""high"" or ""stoned"" feeling, a general change in perception, heightened mood, and an increase in appetite.[21][22]"
drug;how long i take cipro for a urinary tract infection ?;Infection Urinary Tract / Acute Uncomplicated 250 mg q 12 h 3 days / Mild/Moderate 250 mg q 12 h 7 to 14 days / Severe/Complicated 500 mg q 12 h 7 to 14 days
drug;what does the clotrimazole pill look like;"Product Characteristics Color white Score no score Shape ROUND Size 16mm Imprint Code 54;552"
drug;how long do opioid withdraws last;Opioid withdrawal symptoms can last anywhere from one week to one month. The first phase (acute withdrawal) begins about 12 hours after your last opioid use. It peaks at around 3 - 5 days, and lasts for approximately 1 - 4 weeks. The second phase (post-acute withdrawal) can last up to two years. The symptoms include mood swings, anxiety, variable energy, low enthusiasm, variable concentration, and disturbed sleep.
drug;is herceptin chemo.a drug?;Herceptin is not chemotherapy and it is not a hormone therapy. It is called a monoclonal antibody and is one of two innovative cancer therapies that utilise the natural immune system.
drug;what mg is the lowest does of coreg?;The white, oval, film‑coated tablets are available in the following strengths: • 3.125 mg – engraved with “39” and “SB” • 6.25 mg – engraved with “4140” and “SB” • 12.5 mg – engraved with “4141” and “SB” • 25 mg – engraved with “4142” and “SB”
drug;what is magnesium chelated good for;Chelated magnesium is used as a supplement to maintain adequate magnesium in the body.
drug;how much acetaminophen in acetaminophen and codeine;Each Acetaminophen and Codeine Phosphate Tablet USP 300 mg/30 mg tablet contains acetaminophen 300 mg and codeine phosphate 30 mg. … Each Acetaminophen and Codeine Phosphate Tablet USP 300 mg/60 mg tablet contains acetaminophen 300 mg and codeine phosphate 60 mg.
drug;how do u lower your dosage of gabapentin;If the gabapentin dose is reduced, discontinued, or substituted with an alternative medication, this should be done gradually over a minimum of 1 week (a longer period may be needed at the discretion of the prescriber).
drug;how does a 20 mcg bedford norton transdermal patch compared to say oxycodone what would be the equivalent;25 mcg fentanyl/hr = 40 mg oral / 20 mg IV oxycodone [from conversion chart]
drug;what if meclizine does not work;"Meclizine is the generic name for the prescription drug called Antivert and the over-the-counter (OTC) medicines known as Dramamine and Bonine. Meclizine is used to treat motion sickness and dizziness.

The drug belongs to a class of drugs called antihistamines, which are generally used to treat allergies. However, meclizine works a little differently, reducing nausea and muscle spasms."
