女 听过别人最多的议论就是干啥啥不行不长心眼没有脑子;这样的议论是针对谁呢？
女 请问焦虑，情绪低落，失眠，暴躁是心理出问题了吗？;"从你的描述中，了解到因失眠备受困扰，你目前的状态持续多长时间了？
通常来讲导致失眠的因素有很多种:比如躯体因素、环境因素、化学因素以及精神因素，通过以上所诉，来分析一下你的失眠是属于哪一种？"
男,25岁,我自己经焦虑不安 还有癔病 怎么办？我快崩溃啦！;有什么好办法吗
做下考试题 私聊追加啥的 刑事诉讼法的 挺简单的 跪求大神;有什么问题
女 发微信不回是怎么回事，我遇到这样的事会有点不开心;也许有事情
男 交际障碍症候群，这个病该怎么治疗？有什么好方法？;人际关系的根本，其实是自己和自己的关系
女,总是觉得对方有别的女人，自己又莫名其妙的胡思乱想;美女
男 我的目的，广结良缘，，，，，，，，，以后我能有用;肯定有目的
男 爱一个人，需要什么样的方式，但是我的方式都错了。;错在哪里了呢？
女 我总担心我的朋友会和别人好，反过来笑话我怎么办？;请问您多大了？这种担心多久了？
女 结婚后一直不敢有性生活，害怕	恐惧，尝试过还是不敢;可以做相应的心理治疗这方面我处理过你可以点击我头像
有没有免费的咨询师医生什么的专家什么的绕道网友也可以;我
女 我怀疑自己有躁郁症，请问怎么去确诊，大概要多少钱;请问您今年多大了？这种状况有多久了
女 最近老是爱做梦，好的，坏的都有，这是什么情况啊？;是否给你造成了困扰呢？
男 我喜欢一个女孩，我现在六年级刘，我该不该和她表白;你喜欢她什么呢？
男 多疑，焦虑，感觉周围人很容易议论自己，压力特别大;记忆力特别差，总是想掩盖自己
男 喜欢上了不该的人怎么办呢？心里老是放不下怎么办？;既然知道不该那就断了，长痛不如短痛
男 我每晚都睡不着。脑子里总想着那些乱七八糟的东西。;找到失眠的原因，再学习让脑袋静下来，掌握原理，很愿意帮到你
女 怎么可以劝爸爸吵架时不打妈妈，应该说都是爸爸的错;"父母亲吵架，从来没有对错。
有对错亦与孩子无关。
回避现场，可以还家安宁。
父母亲会自我反省。"
女 经常在手机上看小说，控制不了怎么办，有什么方法？;带给您什么影响了？
女 越着急越容易失去，但就是急性子。。。。。。。。。;可以慢下来嘛
女,22岁,男友是什么意思？我问他是不是要分手他不回我？;凌晨？
女 夜晚经常失眠，精神很足，有点狂躁，容易胡思乱想，;白天睡多了
女 做梦梦到妈妈不理解我，打骂我，醒来的时候泪流满面;现实中有这样的情况吗？
男 性心理扭曲变态。特别喜欢别人虐我。现在的我很焦虑;在这里希望怎样的帮助？
女 爸爸六十多岁，还和其他女人纠缠不清，我该怎么办。;你妈妈怎么看呢？
男 重度抑郁症。怎么治疗有好多方面情感，，家庭，自卑;重度。抑郁。
男 怀疑老婆出轨了但没有证据天天吵架，她本人从来不承认;这提问别人也能看到吗
我累了   不想做事  怎么办啊    真的累了    我在也不想做了;什么让你很累呢
女 7岁的女孩子平时文静内向，最近爱发脾气是什么原因？;最近有没有遇到什么烦心事
女,上班后不敢和人交谈，别人主动和我说话时我会很紧张。;欢迎点击我的头像，关注专家，深入咨询。
男 男 如何成为平台入驻的心理咨询专家，需要什么条件。;能给予帮助吗姐姐？
男,30岁的人一直被骗，沉迷游戏，有没有办法做心理疏导？;他本人有求助意愿吗？
女 我心情抑郁闷，不开心，天天担心自己的身体，心有焦虑;"刚刚看完您所有的描述，请问您多大了？

发生了什么事后出现这种感受的？

大约多久了？"
女 12岁女生，嫉妒心很强，看到别人比自己优秀就讨厌别人;噗
男 ！。。。。。。。。。。。。。。。。。。。。。。。。;你希望得到什么帮助？
女,抑郁症，社交恐惧症，敏感，没有安全感，我该怎么办？;"刚刚看完您所有的描述，请问您多大了？

这种感受多久了？"
女 会无缘无故的烦躁想发脾气，有时候还会没有原因的想哭;看得出来你内心压抑了很多情绪，敏感，有时候控制不住自己，通过心理咨询可以化解
要开学了，死到临头了，吨吨吨吨，呼西呼西，呃⊙∀⊙！;多大了，这么怕学校？
女 当一个女孩子不再笑的时候，那说明她已经伤心到了极致;刚刚看完您所有的描述，有时的确是这样的。
女 在家从不出门，是不是心理有问题。有点害怕和别人交际;我也是
男 单亲长大，没有安全感，自卑，多疑，话少，不太合群，;生活不会抛弃你，加油(ง•̀_•́)ง
女 没有对象，心里很空虚，感觉没人喜欢我了，该怎么办。;私聊
男 就是晚上怕黑，自己一人不不能待着还是可父母一个房间;"刚刚看完您所有的描述，请问您多大了？

发生了什么事后出现这种晚上怕黑现象的？

大约多久了？"
女,12岁,我想确认自己是否抑郁了，觉得自己精神压力太大了;您说的精神压力是指什么？
女 是否有抑郁症倾向。。。。。。。。。。。。。。。。。;你测试一下
女,我快要崩溃了，请问我要怎么做？？我真的好累好累好累;都是闲的，唉
女 你好，我是学生，在班上没有朋友，很难熬，不想上学了;朋友是要自己经营的
女 对任何事物都没兴趣了，甚至对生活都没希望了，怎么办;你活得
女 我又没有抑郁症？我真的一天比一天累，一天比一天难熬;不确定就去医院
男 情绪低落怎样解决？心情怎么做才能变好，睡眼也不好。;胡思乱想，或者听歌，做一些分散注意力的事情
女,谈恋爱总是怀疑男朋友怎么办总是怀疑他让我感觉很疲惫;"刚刚看完您所有的描述，请问这种怀疑是从相识就有的？还是后来才出现的？

这种情况或许源于您内心深处缺乏安全感，不够自信有关"
我很惆怅，因为想到以后毕业完不知道做什么，什么都不会，;欢迎加我关注，详谈，我们一起探讨，一起成长。
男 我真的好想死掉解脱。我承受不了了。我又不知该怎么死;多久了？
女 女孩子早恋失恋了，就不肯去读书了？作为父母该咋办？;耐心和孩子沟通
男 病人不是一天倒下的，山也不是一天耸立的。为自己喝彩;楼房不是一天竖立的
男 抑郁症状，我经常脾气暴躁，控制不住，伤害自己的身体;你今年多大了呢？这样的情况有多久了？
女 想死不想活了，难过，不想活了，难受死了。不想活了。;为谁呢？
男 今年30岁，性格内向，社交恐惧，不愿意向人多的地方去，;这样多久了呢？父母的性格怎么样？
女 发现爸爸出轨了该怎么办？？？？？？？？？？？？？？;报警啊
女,24岁,跟婆婆不合总是整晚睡不着觉心里压着一块石头一样;宝宝现在三个月了
女 为什么特别讨厌老公的侄子侄女，不想在自己家看见他们;刚刚看完您所有的描述，那么是否有尝试和您老公沟通表达？
女,有老师还在嘛。。。。。。。。。。。。。。。。。。。;请问您需要获得哪方面的咨询帮助
女 我爱上一个人，很在乎，很害怕失去，所以经常失眠抑郁;霸王硬上弓搞定他
男 我需要爱情！爱情………………………………………………;你多大了？
女 心理洁癖是什么? 最近情绪一直控制不住，真不知道怎么办;我年纪不大，身体却糟糕透了，我想去检查，可是我又不敢，好害怕去面对现实
男 我是一名男同性恋，我想知道同性恋以后怎么跟家长沟通？;您想问的是关于向家长出柜的问题吗？
男 太过在意别人的看法！一点小问题就会觉得别人针对自己！;请问你的年龄
女 喜欢身边玩得比较好的一个男生，但是不知道该怎么表达。;你知道这个男生喜欢什么类型的女孩么？表白也需要技巧，先要了解对方喜好，然后有针对的做一些吸引策划
女 有没有人可以夸夸我，我想知道这个世界还是美好的，谢谢;你是最棒的
女,心理咨询师如何入驻这个平台呀，有知道的帮忙解答，谢谢;刚刚看完您所有的描述，您可以在工作日的早九点至晚五点联系客服咨询。
女 我偏执性精神分裂症，双向情感障碍，还有很多不知道的。;你想获得怎样的帮助呢
有什么可以让人亢奋起来的句子吗 比如你不会甘心自己的平庸;你需要激励吗
男 有两天没有来这里了，感觉有点儿不自在。。。。。呵呵呵;有点不自在。这里成了你自在的一部分。
女 抑郁症，心理病，如何缓解压力，父母不带我去看心理医生;可以测下
女,每天都开心不起来，很烦躁很焦虑，觉得活着没有多大意思;不知道在烦什么，在焦虑什么，就是开心不起来，很抑郁
女 哪位小哥哥小姐姐可以借我钱啊？？？？？？？？？？？？;借多少?
女 是不是有抑郁症。有时很崩溃。想测一测是不是有抑郁症。;难过的时候自己很崩溃。喜欢黑的地方。喜欢自己一个人。呆着听歌。尤其是在难过的时候。
